timestamp,error_x,error_y,u_x,u_y,error_area,angle_x,angle_y,estado_tracking
1789421826.9555905,284,-195,3.218751693229214,-2.27262645653623,0.983718954248366,93.21875169322921,87.72737354346377,1
1789421827.0047066,286,-194,3.0804097418554295,-2.1298071816007935,0.9857385620915032,96.29916143508464,85.59756636186297,1
1789421827.0513499,287,-179,3.0807167597565526,-1.8291902585651627,0.9649640522875818,99.3798781948412,83.76837610329781,1
1789421827.0872688,138,27,-0.48596835681558215,2.951962235699413,0.9299019607843138,98.89390983802562,86.72033833899722,1
1789421827.1212401,-281,-165,-8.965916789819868,-4.6754381025892915,0.9344183006535948,89.92799304820575,82.04490023640793,1
1789421827.1550696,-261,-142,-2.4819943368158848,-1.2800954434625738,0.8600326797385621,87.44599871138986,80.76480479294536,1
1789421827.1917868,-265,-104,-2.9047623611129247,-0.7210584634619642,0.8436339869281045,84.54123635027693,80.0437463294834,1
1789421827.2294388,-240,-51,-2.2695420881787527,-0.007867013682707702,0.7736143790849673,82.27169426209818,80.03587931580068,1
1789421827.2660441,-203,-13,-1.7245897556146115,0.18899561055030928,0.6688333333333333,80.54710450648356,80.22487492635099,1
1789421827.301853,-148,-2,-0.9248632688467707,0.0,0.6465686274509804,79.6222412376368,80.22487492635099,1
1789421827.337599,-80,3,-0.048847222036950466,0.0,0.6527418300653595,79.57339401559985,80.22487492635099,1
1789421827.3734634,-42,6,-0.08094472253037155,-0.03867401737252707,0.6396732026143791,79.49244929306947,80.18620090897846,1
1789421827.40879,-6,11,0.24993544203764873,0.0014612670393881894,0.6465816993464052,79.74238473510712,80.18766217601785,1
1789421827.4450457,21,14,0.39723407254805737,0.012168613683553771,0.6359705882352941,80.13961880765518,80.19983078970141,1
1789421827.480874,27,15,0.1883448700239594,0.005519676091975593,0.6326013071895424,80.32796367767914,80.20535046579339,1
1789421827.5172958,36,14,0.3444137279182592,-0.021977148938558722,0.6304607843137255,80.6723774055974,80.18337331685483,1
1789421827.553425,40,10,0.3450151664066111,-0.09632681296597478,0.6261176470588236,81.01739257200401,80.08704650388886,1
1789421827.5896187,42,12,0.36776743744170654,0.015305199983889729,0.6259738562091504,81.38516000944571,80.10235170387274,1
1789421827.6254723,43,12,0.39491813302616185,-0.003720989227294927,0.6276666666666667,81.78007814247188,80.09863071464545,1
1789421827.663503,36,11,0.2457854748628067,-0.018562755425572224,0.6297549019607843,82.02586361733469,80.08006795921987,1
1789421827.69982,24,9,0.07107934545396086,-0.046294677351093994,0.6272516339869281,82.09694296278866,80.03377328186878,1
1789421827.7362123,15,7,0.03308129973555378,-0.06120065830349743,0.6297058823529412,82.13002426252422,79.97257262356528,1
1789421827.7729168,11,7,0.0702207371886624,-0.028590588569641112,0.6279477124183006,82.20024499971288,79.94398203499564,1
1789421827.8102727,9,6,0.08468994332361296,-0.04748911258049188,0.6274967320261438,82.28493494303649,79.89649292241515,1
1789421827.8461351,9,6,0.11790353298187256,-0.02980318546295166,0.6262614379084968,82.40283847601836,79.8666897369522,1
1789421827.8824213,9,7,0.1244291114807129,-0.0009402079810676596,0.6253627450980392,82.52726758749907,79.86574952897112,1
1789421827.9192665,9,8,0.13106558322906495,0.014738285155325964,0.6258202614379085,82.65833317072813,79.88048781412645,1
1789421827.9550164,5,8,0.0,0.006881132125854492,0.6246960784313725,82.65833317072813,79.88736894625231,1
1789421827.991166,5,8,0.0,0.012665548324584955,0.626421568627451,82.65833317072813,79.9000344945769,1
1789421828.0267973,3,9,0.0,0.043112018123440975,0.6233823529411765,82.65833317072813,79.94314651270034,1
1789421828.0630896,-2,8,0.0,0.011084143215426097,0.6253888888888889,82.65833317072813,79.95423065591577,1
1789421828.1013696,-5,9,0.0,0.054824347512421864,0.6245098039215686,82.65833317072813,80.00905500342819,1
1789421828.1380024,-4,8,0.0,0.02398690666793629,0.6281013071895425,82.65833317072813,80.03304191009613,1
1789421828.1738572,-3,7,0.0,0.01871072736174359,0.6280947712418301,82.65833317072813,80.05175263745788,1
1789421828.2089908,-4,7,0.0,0.03757569789886475,0.6280457516339869,82.65833317072813,80.08932833535674,1
1789421828.244647,-4,7,0.0,0.042565698623657236,0.6290980392156863,82.65833317072813,80.1318940339804,1
1789421828.280415,-4,6,0.0,0.022878290423339824,0.6305392156862745,82.65833317072813,80.15477232440374,1
1789421828.316176,-4,6,0.0,0.04114587783813477,0.6313071895424837,82.65833317072813,80.19591820224187,1
1789421828.3511684,-5,5,0.0,0.0,0.6322679738562091,82.65833317072813,80.19591820224187,1
1789421828.3883502,-6,2,-0.09126628967766673,0.0,0.6339934640522876,82.56706688105047,80.19591820224187,1
1789421828.423737,-6,2,-0.07954424381256103,0.0,0.6338888888888888,82.4875226372379,80.19591820224187,1
1789421828.459378,-8,1,-0.13330111685614446,0.0,0.6347614379084967,82.35422152038176,80.19591820224187,1
1789421828.4952428,-9,-1,-0.13565066961642055,0.0,0.635062091503268,82.21857085076533,80.19591820224187,1
1789421828.531766,-11,-3,-0.17710092662099283,0.0,0.6356013071895424,82.04146992414434,80.19591820224187,1
1789421828.5678163,-13,-5,-0.20685108335501037,0.0,0.6365065359477124,81.83461884078933,80.19591820224187,1
1789421828.6051466,-17,-10,-0.28606396296099146,-0.20434376445633484,0.6375816993464052,81.54855487782834,79.99157443778553,1
1789421828.6411889,-20,-18,-0.3176379902416242,-0.38062884930588936,0.6377156862745098,81.23091688758672,79.61094558847964,1
1789421828.677739,-23,-29,-0.36384431289064545,-0.5512940182099317,0.6403267973856209,80.86707257469607,79.05965157026971,1
1789421828.7141898,-26,-42,-0.4129392155791459,-0.7398051965760215,0.6420261437908497,80.45413335911692,78.3198463736937,1
1789421828.7544057,-30,-58,-0.48564234441783105,-0.9670224406824935,0.6426274509803922,79.9684910146991,77.3528239330112,1
1789421828.7906022,-19,-85,-0.18776297293984467,-1.4229571735321627,0.6476143790849673,79.78072804175925,75.92986675947903,1
1789421828.8269727,-13,-88,-0.20662349939484198,-1.1212454420894604,0.6469477124183006,79.57410454236441,74.80862131738957,1
1789421828.8634498,-10,-84,-0.2252061128383931,-0.985131255518854,0.6536601307189542,79.34889842952602,73.82349006187071,1
1789421828.9005022,-12,-78,-0.3222709216273678,-0.8990455504657985,0.6585882352941177,79.02662750789865,72.92444451140491,1
1789421828.9380171,-16,-70,-0.40060295997319245,-0.7934360446652017,0.6596013071895425,78.62602454792545,72.13100846673971,1
1789421828.974431,-15,-52,-0.33452137989006686,-0.4728400707130229,0.6632679738562092,78.29150316803539,71.6581683960267,1
1789421829.0106564,-10,-25,-0.23098386120106368,-0.07733247334474136,0.6645294117647059,78.06051930683432,71.58083592268196,1
1789421829.0451581,-4,2,0.0,0.0,0.666124183006536,78.06051930683432,71.58083592268196,1
1789421829.080414,-4,18,0.0,0.3136848511667615,0.6655457516339869,78.06051930683432,71.89452077384871,1
