timestamp,error_x,error_y,u_x,u_y,error_area,angle_x,angle_y
1789401806.2185347,0,0,0.0,0.0,0,90.0,90.0
1789401806.2709587,0,0,0.0,0.0,0,90.0,90.0
1789401806.3435047,-186,-71,-2.157569743420294,-0.9472141210813998,0.9486176470588236,87.8424302565797,89.0527858789186
1789401806.3959174,-186,-73,-2.06,-0.9490787201717596,0.9493104575163399,85.7824302565797,88.10370715874684
1789401806.4435034,-186,-74,-2.06,-0.9505047210214437,0.9427483660130719,83.7224302565797,87.1532024377254
1789401806.4832907,-157,-73,-1.405572951433622,-0.9174328723123756,0.9790849673202614,82.31685730514607,86.23576956541302
1789401806.5217314,-197,181,-2.689418452012384,5.050611056288124,0.8744901960784314,79.62743885313368,91.28638062170114
1789401806.5627663,-174,46,-1.6593172065849273,-1.2092798190395957,0.481297385620915,77.96812164654875,90.07710080266155
1789401806.6044104,-169,-66,-1.829953386360643,-2.0823643679763046,0.4579346405228758,76.13816826018811,87.99473643468524
1789401806.643862,-162,-126,-1.7312777996023232,-2.1978968049468635,0.5580555555555555,74.40689046058579,85.79683962973837
1789401806.6822617,-122,-174,-0.8996148883374689,-2.5649583788616273,0.6928464052287582,73.50727557224832,83.23188125087674
1789401806.721484,-21,-228,0.8765338014310183,-3.1679249665897222,0.9635816993464053,74.38380937367934,80.06395628428702
1789401806.759053,-55,-195,-1.2020497803249797,-1.7106162519761026,0.7625359477124183,73.18175959335436,78.35334003231091
1789401806.7996247,-52,-141,-0.6829489355437118,-0.9437243379675117,0.46544444444444444,72.49881065781065,77.4096156943434
1789401806.8492737,-43,-86,-0.5395374970643635,-0.5067705560431865,0.19881045751633986,71.95927316074629,76.90284513830021
1789401806.8919356,-26,-25,-0.2608046575556773,0.26483564391843945,-0.014555555555555556,71.69846850319061,77.16768078221865
1789401806.9357986,-10,-26,-0.11750903088612005,-0.47140208887221563,-0.03866666666666667,71.58095947230449,76.69627869334644
1789401806.979557,-5,-15,0.0,-0.22408892333555294,-0.02292483660130719,71.58095947230449,76.47218977001089
1789401807.0196471,-4,-4,0.0,0.0,-0.05066013071895425,71.58095947230449,76.47218977001089
1789401807.064429,-12,34,-0.3277728721590488,0.4861593740938183,-0.03307516339869281,71.25318660014544,76.9583491441047
1789401807.10834,-17,27,-0.4270402162856102,0.07176007252832846,-0.045754901960784314,70.82614638385984,77.03010921663304
1789401807.1514668,-22,30,-0.4779868384670686,0.24213523510512228,-0.02047058823529412,70.34815954539276,77.27224445173816
1789401807.1957512,2,31,0.0,0.25607778461139924,-0.04945424836601307,70.34815954539276,77.52832223634955
1789401807.2419,12,28,0.12964347127556686,0.20818905288337552,-0.04331045751633987,70.47780301666833,77.73651128923292
1789401807.285486,23,27,0.1979413901575662,0.24270865770647185,-0.04622222222222222,70.6757444068259,77.9792199469394
1789401807.3278263,25,42,0.1365482935474565,0.6169967516855721,6.862745098039216e-05,70.81229270037336,78.59621669862497
1789401807.3727264,25,39,0.13539380073547364,0.4113525714581596,0.0022026143790849673,70.94768650110883,79.00756927008312
1789401807.4160945,25,39,0.1570884609222412,0.4786007642745972,0.005137254901960785,71.10477496203107,79.48617003435773
1789401807.461808,29,16,0.2673789707182572,0.011565993556551302,-0.04817320261437909,71.37215393274933,79.49773602791427
1789401807.505731,29,-1,0.24942572593688964,0.0,-0.032568627450980395,71.62157965868622,79.49773602791427
1789401807.549229,30,-12,0.2968184176253505,-0.1978784001515907,-0.02273202614379085,71.91839807631156,79.29985762776268
1789401807.5921996,34,-15,0.4009265555919932,-0.11555829462080873,0.01138235294117647,72.31932463190356,79.18429933314187
1789401807.6352894,23,-26,0.13666671410719416,-0.34068042884012395,-0.003797385620915033,72.45599134601075,78.84361890430174
1789401807.679162,7,-29,-0.07215458627965951,-0.3027049075820183,-0.008820261437908497,72.38383675973108,78.54091399671972
1789401807.7225506,-1,-22,0.0,-0.13677979531786782,0.0018431372549019608,72.38383675973108,78.40413420140186
1789401807.7659566,-2,-16,0.0,-0.1023480934433322,0.012725490196078432,72.38383675973108,78.30178610795853
1789401807.8088417,-2,-17,0.0,-0.20768944782307155,0.0105359477124183,72.38383675973108,78.09409666013546
1789401807.8510282,-1,-12,0.0,-0.09693455079033823,0.010977124183006537,72.38383675973108,77.99716210934513
1789401807.8931677,-4,-2,0.0,0.0,0.014970588235294117,72.38383675973108,77.99716210934513
1789401807.9361868,-6,-1,-0.07579447490635727,0.0,0.03465359477124183,72.30804228482472,77.99716210934513
1789401807.9767718,-6,-1,-0.05543363094329834,0.0,0.03557843137254902,72.25260865388142,77.99716210934513
1789401808.0202482,-3,-7,0.0,-0.11507357221655573,-0.03823202614379085,72.25260865388142,77.88208853712857
1789401808.0631588,-5,16,0.0,0.3818409875803104,0.013274509803921569,72.25260865388142,78.26392952470887
1789401808.1068387,-7,12,-0.08742110516341703,0.03863881974893388,0.009330065359477124,72.16518754871801,78.30256834445781
1789401808.1498373,-5,8,0.0,0.004567460842642444,-0.011235294117647059,72.16518754871801,78.30713580530045
1789401808.1915557,-1,11,0.0,0.12637336738073612,-0.03299019607843137,72.16518754871801,78.43350917268118
1789401808.2343554,-3,21,0.0,0.3250202404551497,-0.015104575163398692,72.16518754871801,78.75852941313633
1789401808.280054,-1,19,0.0,0.18386968184001798,-0.039300653594771244,72.16518754871801,78.94239909497635
1789401808.3235357,0,23,0.0,0.3117411105878384,-0.045745098039215684,72.16518754871801,79.25414020556418
1789401808.3668761,1,29,0.0,0.4202164069819313,-0.009794117647058823,72.16518754871801,79.67435661254612
1789401808.4097626,2,24,0.0,0.2632941608775671,-0.005535947712418301,72.16518754871801,79.93765077342368
1789401808.452008,3,16,0.0,0.16037789650906503,-0.005784313725490196,72.16518754871801,80.09802866993275
1789401808.4951534,4,0,0.0,0.0,-0.008663398692810458,72.16518754871801,80.09802866993275
1789401808.536662,4,-11,0.0,-0.1931096704646403,-0.023856209150326796,72.16518754871801,79.90491899946811
1789401808.5807347,7,-13,0.13755783365192903,-0.08770713526068367,0.002437908496732026,72.30274538236993,79.81721186420742
1789401808.6254287,8,-9,0.15112641628218804,0.011666649958242972,0.01857843137254902,72.45387179865212,79.82887851416567
1789401808.670018,7,-12,0.12496674747392908,-0.10744624062900027,0.01322549019607843,72.57883854612605,79.72143227353666
1789401808.7128224,4,-21,0.0,-0.28702393925037994,0.013450980392156862,72.57883854612605,79.43440833428629
1789401808.7541144,2,-33,0.0,-0.47449779429732364,0.0032745098039215687,72.57883854612605,78.95991053998897
1789401808.7964544,-3,-61,0.0,-0.990790798080177,0.0047483660130718955,72.57883854612605,77.96911974190878
1789401808.8370063,-4,-73,0.0,-0.988054718000523,0.03222222222222222,72.57883854612605,76.98106502390826
1789401808.8793435,-8,-81,-0.08314243837032265,-1.082794108136607,0.07984313725490196,72.49569610775573,75.89827091577165
1789401808.9198437,-12,-85,-0.14642655673970315,-1.099401128346466,0.10623856209150327,72.34926955101604,74.79886978742518
1789401808.961744,-16,-78,-0.19823076803207917,-0.8964685705831811,0.06283986928104575,72.15103878298396,73.902401216842
1789401809.0094228,-20,-68,-0.25140939573391197,-0.7751649395379995,0.009235294117647059,71.89962938725004,73.127236277304
1789401809.056662,-25,-59,-0.33606756643174857,-0.6947211049188272,-0.0395718954248366,71.5635618208183,72.43251517238517
1789401809.0995479,-31,-27,-0.4397872771128509,-0.09685995473980952,-0.04684640522875817,71.12377454370544,72.33565521764535
1789401809.1417942,-33,-12,-0.44123498573873654,-0.1425319312181252,-0.05377777777777778,70.6825395579667,72.19312328642722
1789401809.1853776,-34,1,-0.46898993755720736,0.0,-0.06336601307189542,70.2135496204095,72.19312328642722
1789401809.228654,-18,26,-0.12555409610531157,0.3239091685740906,-0.061781045751633984,70.08799552430418,72.51703245500131
1789401809.273427,-11,35,-0.17461103170163195,0.32701609887303346,-0.04988888888888889,69.91338449260255,72.84404855387434
1789401809.3164303,-6,35,-0.1499926461499752,0.2566142511367798,-0.038258169934640526,69.76339184645258,73.10066280501113
